gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4150	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_6_4150	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_6_4150	GO:0045182	2	GO:0045182	GO:0045182	GO:0045182	GO:0045182
Pa_6_4160	GO:0005794	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4160	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4180	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4180	GO:0005773	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4180	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4180	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4190	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_6_4190	GO:0016791	6	GO:0003824	GO:0016787	GO:0016788	GO:0042578
Pa_6_420	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_420	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_420	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4210	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4210	GO:0005886	4	GO:0110165	GO:0016020	GO:0005886	GO:0005886
Pa_6_4210	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4220	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4220	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_6_4230	GO:0006629	4	GO:0008152	GO:0044238|GO:0071704	GO:0006629	GO:0006629
Pa_6_4230	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4230	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4240	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4240	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4240	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_6_4240	GO:0016829	3	GO:0003824	GO:0016829	GO:0016829	GO:0016829
Pa_6_4250	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4250	GO:0003700	3	GO:0140110	GO:0003700	GO:0003700	GO:0003700
Pa_6_4250	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4250	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_6_4280	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_6_4290	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4310	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4310	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_6_4310	GO:0006520	7	GO:0008152|GO:0009987	GO:0044281|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0006082|GO:1901564	GO:0043436
Pa_6_4310	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4310	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_6_4310	GO:0016874	3	GO:0003824	GO:0016874	GO:0016874	GO:0016874
Pa_6_4315	GO:0005739	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4315	GO:0006996	5	GO:0009987	GO:0071840	GO:0016043	GO:0006996
Pa_6_4320	GO:0000049	6	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4320	GO:0000166	5	GO:0005488	GO:0036094|GO:1901363|GO:0097159	GO:1901265	GO:0000166
Pa_6_4320	GO:0002161	6	GO:0003824	GO:0140098|GO:0016787	GO:0140101|GO:0016788	GO:0052689
Pa_6_4320	GO:0004812	5	GO:0003824	GO:0140098|GO:0016874	GO:0016875|GO:0140101	GO:0004812
Pa_6_4320	GO:0004822	6	GO:0003824	GO:0140098|GO:0016874	GO:0016875|GO:0140101	GO:0004812
Pa_6_4320	GO:0005524	9	GO:0005488	GO:0008144|GO:0097367|GO:0036094|GO:0043167|GO:1901363|GO:0097159	GO:1901265|GO:0043168	GO:0035639|GO:0000166
Pa_6_4320	GO:0006418	11	GO:0008152|GO:0009987	GO:0044281|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0006082|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360|GO:1901564	GO:0043436|GO:0006139
Pa_6_4320	GO:0006428	12	GO:0008152|GO:0009987	GO:0044281|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0006082|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360|GO:1901564	GO:0043436|GO:0006139
Pa_6_4320	GO:0106074	10	GO:0008152|GO:0009987|GO:0065007	GO:0065008|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0006450|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4330	GO:0005198	2	GO:0005198	GO:0005198	GO:0005198	GO:0005198
Pa_6_4330	GO:0005840	6	GO:0110165	GO:0043226	GO:0043228|GO:0043229	GO:0043232
Pa_6_4330	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_6_4370	GO:0004672	6	GO:0003824	GO:0140096|GO:0016740	GO:0016772	GO:0016773|GO:0016301
Pa_6_4380	GO:0005515	3	GO:0005488	GO:0005515	GO:0005515	GO:0005515
Pa_6_4400	GO:0005783	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4400	GO:0006629	4	GO:0008152	GO:0044238|GO:0071704	GO:0006629	GO:0006629
Pa_6_4400	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4400	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_6_4410	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4410	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4410	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4410	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
Pa_6_4430	GO:0005515	3	GO:0005488	GO:0005515	GO:0005515	GO:0005515
