Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_5_11970	3.57	2.66	1.04	-0.07	0.07	-0.08	-0.47	-0.63	-0.58	2.3
Pa_5_11990	2.98	1.72	0.18	0.01	0.33	-0.01	-0.42	-0.93	-1.17	-0.47
Pa_5_12470	1.68	2.36	-0.23	-0.88	-0.38	0.25	-0.11	0.11	-0.55	0.76
Pa_5_1280	2.6	1.06	0.84	-0.23	-0.16	-0.15	-0.19	0.15	0.23	-0.49
Pa_5_1790	2.97	1.48	0.89	-0.19	-0.01	0.01	-0.24	-0.1	-0.15	0.01
Pa_5_1850	5.11	1.24	-0.41	-0.29	0.42	0.63	0.11	-0.54	-0.69	-0.11
Pa_5_290	2.79	1.42	0.93	-0.1	0.25	0.1	-0.23	-0.62	-0.74	-0.3
Pa_5_3390	1.58	0.87	0.27	-0.16	0.17	0.07	-0.83	-1.2	-0.26	-0.07
Pa_5_6050	2.73	1.48	0.08	0.37	0.27	-0.56	-1.19	-1.23	-0.08	-0.18
Pa_5_6760	4.59	2.25	0.96	0.46	0.14	-0.14	-0.59	-1.25	-0.87	-0.48
Pa_5_7190	3.18	1.57	0.93	0.06	-0.06	-0.17	-0.73	-1.01	-0.96	1.39
Pa_5_7200	1.23	0.99	0.72	0.11	-0.27	-0.55	-1.28	-1	-0.11	0.57
Pa_5_9860	3.79	0.76	-0.07	0	0.31	0.13	-0.15	0	-0.07	-0.33
Pa_6_10500	2.73	0.52	0.49	0	0.1	0	-0.25	-0.44	-0.33	-0.29
Pa_6_2320	1.85	0.29	0.17	-0.17	-1.01	-1.46	-1.75	-0.68	1.18	0.41
Pa_6_660	2.36	1.62	1.05	-0.04	0.03	-0.03	-0.29	0.05	-0.34	-0.28
Pa_6_680	3.63	2.12	1.24	0.07	-0.34	-0.27	-0.07	-0.72	-0.09	0.12
Pa_6_9680	1.36	0.18	0.71	0.03	-0.72	-0.68	-0.71	-1.51	-0.03	0.69
Pa_6_9960	3	1.87	0.83	0.04	-0.1	0.01	-0.01	-1.03	-0.14	-0.26
Pa_7_2260	1.71	0.41	0.13	-0.13	-0.46	-0.43	-0.68	-0.8	1.43	0.94
Pa_7_340	4.35	1.27	0.21	-0.7	-0.57	-0.52	-0.33	-0.21	0.38	0.75
Pa_7_3415	6.58	3.09	1.83	0.14	-0.05	0.05	-0.16	-0.48	-0.17	-0.39
Pa_7_3420	4	1.48	-0.01	-1.2	-1.33	-1.03	-1.67	0.01	0.93	2.53
Pa_7_4075	2.68	1.96	1.12	-0.09	-0.28	0.09	-0.64	-1.25	-0.31	0.98
Pa_7_4480	2.39	1.74	0.84	0.12	-0.12	-0.19	-0.62	-1.21	-1.46	0.81
Pa_7_5010	2.49	0.58	-0.08	0.75	0.08	-0.19	-0.62	-0.75	-1.03	1.35
Pa_7_790	1.8	0.6	0.97	0.07	-0.01	-0.21	-0.92	-1.25	0.01	-0.2
Pa_7_8580	2.88	0.67	0.46	-0.27	-0.28	-0.38	-0.61	-0.85	0.27	0.41
