Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_1_3120	0.15	0.45	0.25	0.28	0.04	-0.04	-0.21	-0.97	-2.11	-2.64
Pa_1_3130	0.12	0.18	0.06	0.09	-0.06	0.19	-0.12	-1.07	-2.22	-2.54
Pa_1_3290	-0.93	-0.01	0.81	0.41	1.28	0.27	0.01	-1.88	-2.6	-2.78
Pa_1_380	0.92	0.95	0.9	0.92	0.08	-0.08	-0.11	-0.44	-1.08	-2.16
Pa_1_390	-0.04	1.14	1.08	0.78	0.36	0.04	-0.54	-1.23	-1.84	-4.53
Pa_1_4860	1.23	0.99	0.69	0.32	0.14	-0.14	-1.07	-1.6	-1.75	-1.19
Pa_1_5250	1.63	0.52	1.06	0.23	0.07	-0.07	-1.16	-1.92	-2.48	-2.44
Pa_1_5260	0.57	0.27	0.5	0.23	0.07	-0.07	-0.33	-0.49	-1.13	-2.65
Pa_1_5520	0.38	0.77	1.2	1.28	0.43	-0.38	-0.66	-1.91	-1.59	-0.91
Pa_1_5870	0.49	0.41	0.24	0.38	0.19	-0.2	-0.19	-0.66	-1.47	-2.78
Pa_1_5930	0.63	0.45	0.02	0.27	0.04	-0.02	-0.85	-1.83	-2.09	-2.38
Pa_1_5975	0.7	1.6	1.63	0.62	0.06	-0.06	-1.26	-2.13	-2.48	-1.91
Pa_1_600	0.97	-0.11	0.56	0.2	0.11	0.16	-0.8	-0.92	-1.26	-2.1
Pa_1_6015	-0.26	0.33	1.19	0.92	0.59	0.26	-0.44	-1.5	-2.01	-0.96
Pa_1_618	1.35	2.3	1.78	0.4	0.11	-0.11	-0.19	-0.43	-0.52	-1.03
Pa_1_620	1.72	2.3	1.44	0.37	-0.04	0.04	-0.46	-0.72	-0.96	-0.89
Pa_1_700	0.33	0.03	0.61	0.46	0.01	-0.01	-0.4	-0.69	-1.05	-2.5
Pa_1_8170	1.35	0.81	0.75	0.33	0.13	-0.13	-0.52	-0.3	-0.46	-1.48
Pa_1_9180	0.87	0.34	0.22	0.32	-0.22	0.27	-0.26	-0.28	-0.73	-5.45
Pa_1_9760	0.61	-0.04	0.35	0.04	0.05	0.19	-0.83	-2.34	-2.68	-2.42
Pa_1_980	1.21	0.94	0.38	1.07	0.64	-0.38	-1.18	-1.76	-1.93	-1.45
Pa_2_10310	0.91	1.35	1.24	0.62	0.12	-0.12	-1.01	-1.44	-1.64	-1.87
Pa_2_10320	0.49	0.97	1.13	0.59	0.23	-0.23	-1.11	-1.72	-2.26	-2.64
Pa_2_10960	0.03	0.94	0.28	0.63	-0.03	0.26	-0.27	-0.67	-0.89	-1.99
Pa_2_11310	-0.16	1.44	2.96	2.26	1.17	0.16	-1.33	-2.83	-3.85	-4.26
Pa_2_11550	0.47	1.13	1.73	0.5	0.3	-0.3	-0.93	-1.8	-2.06	-2.84
Pa_2_11595	3.81	2.01	1.3	0.12	0.02	-0.02	-0.79	-1.15	-1.2	-1.03
Pa_2_1195	2.13	2.22	1.03	0.07	-0.07	0.07	-0.61	-1	-1.21	-1.13
Pa_2_13430	2.98	2.77	1.46	0.06	-0.06	0.23	-0.53	-1.21	-1.54	-1.48
Pa_2_13740	2.05	2.71	1.72	0.42	-0.1	0.1	-0.9	-1.51	-2.05	-2.35
Pa_2_14000	1.45	1.82	0.79	0.18	0.22	-0.18	-0.57	-1.5	-1.88	-1.83
Pa_2_14020	0.52	0.18	1.04	-0.02	0.07	0.02	-0.86	-1.07	-1.79	-1.78
Pa_2_14030	0.24	0.43	0.76	0.45	0.12	-0.12	-0.41	-0.94	-1.39	-2.34
Pa_2_1630	0.91	1.4	1.31	0.63	0.06	-0.06	-1.16	-1.66	-1.74	-1.63
Pa_2_2150	-0.14	0.32	1.2	0.45	0.43	0.14	-0.43	-1.77	-2.18	-1.69
Pa_2_2160	-0.25	0.29	1.07	0.9	0.62	0.25	-0.39	-2.01	-2.48	-1.67
Pa_2_3190	-0.55	-0.01	0.31	0.06	0.2	0.39	0.01	-0.68	-1.03	-2.25
Pa_2_4180	1.7	1.96	1.34	0.57	-0.13	0.13	-0.96	-0.97	-1.44	-1.25
Pa_2_4220	0.5	0.25	0.98	0.31	0.06	-0.06	-0.86	-0.91	-1.33	-2.1
Pa_2_4340	2.33	0.54	1	0.46	0.3	-0.3	-0.81	-1.39	-1.6	-0.76
Pa_2_4530	-0.06	1.65	2	2.21	0.77	0.06	-0.98	-1.12	-1.09	-1.68
Pa_2_4590	1.12	0.9	0.82	0.34	0.11	-0.11	-0.64	-1.18	-1.47	-1.83
Pa_2_4600	1.77	1.61	1.6	1.08	0.23	-0.23	-0.79	-1.52	-2.15	-3.03
Pa_2_4725	-0.02	0.6	0.9	0.02	0.17	0.07	-0.47	-0.73	-1.28	-1.82
Pa_2_4855	0.18	1.97	4.37	2.37	0.79	-0.18	-1.69	-4.2	-3.4	-3.29
Pa_2_4890	-0.27	1.59	1.98	1.22	0.51	0.27	-1.13	-2.65	-2.17	-1.57
Pa_2_7200	0.93	0.03	0.88	0.47	0.4	-0.03	-0.9	-2.5	-2.9	-3.14
Pa_2_7220	0.63	0.52	0.53	0.35	0.03	-0.03	-1.12	-1.77	-2.09	-1.44
Pa_2_7240	0.37	0.22	0.23	0.21	0.04	-0.04	-1.11	-2	-2.5	-1.42
Pa_2_7250	1.01	1.08	1.53	0.72	0.08	-0.08	-1.18	-1.88	-2.19	-1.02
Pa_2_7260	1.46	1.47	1.63	0.77	0.03	-0.03	-1.16	-1.65	-1.87	-1.5
Pa_2_7280	0.57	0.45	0.46	0.43	0	0	-1.17	-1.76	-1.99	-1.32
Pa_2_7300	0.82	0.97	1.5	0.92	0.16	-0.16	-1.11	-1.71	-1.85	-1.18
Pa_2_7310	1.12	1.09	1.5	0.8	0.11	-0.11	-1.27	-2.1	-2.28	-1.17
Pa_2_7320	1.31	1.19	1.16	0.5	0.03	-0.03	-1.19	-1.92	-2.29	-1.77
Pa_2_7330	0.67	0.82	1.42	0.67	0.15	-0.15	-1.32	-2.09	-2.52	-1.48
Pa_2_7340	1.13	1.24	1.67	0.75	0.01	-0.01	-1.28	-2.24	-2.63	-2.3
Pa_2_7350	1.03	0.91	1.25	0.57	-0.02	0.02	-0.9	-1.42	-1.67	-1.57
Pa_2_7360	1.05	1.04	1.03	0.68	-0.01	0.01	-0.96	-1.36	-1.69	-1.41
Pa_2_7370	1.08	1.12	1.49	0.64	0.11	-0.11	-0.9	-1.3	-1.31	-1.07
Pa_2_7390	0.38	-0.38	1.1	0.74	1.35	0.75	-0.43	-1.47	-1.98	-2.07
Pa_2_7400	0.72	0.61	0.62	0.42	0.12	-0.12	-1.23	-2	-2.24	-1.49
Pa_2_7420	0.44	0.85	1.31	0.51	0.24	-0.24	-1.27	-2.06	-2.35	-1.58
Pa_2_7440	1.05	0.98	0.99	0.42	-0.03	0.03	-1.2	-2	-2.27	-1.77
Pa_2_7450	0.82	0.7	0.71	0.49	0.03	-0.03	-1.25	-1.81	-2.2	-1.22
Pa_2_7565	-0.52	0.82	2.99	2.66	1.35	0.52	-0.64	-1.58	-2.17	-2.41
Pa_2_7630	3.31	2.24	1.32	0.09	0.44	-0.09	-0.84	-1.37	-2.01	-2.01
Pa_2_7700	-0.53	0.51	0.63	0.2	0.18	0.32	-0.18	-0.8	-1.1	-2.61
Pa_2_7790	0.89	0.71	0.77	-0.03	0.03	0.05	-0.57	-0.96	-1.04	-2.18
Pa_2_7910	1.38	1.03	0.49	0.05	0.15	-0.05	-0.15	-0.77	-1.58	-2.9
Pa_2_7920	0.8	0.72	0.59	0.15	-0.07	0.07	-0.41	-1.44	-2.62	-3.9
Pa_2_7950	-0.38	0.87	1.97	1.66	0.76	0.38	-0.41	-1.07	-1.12	-0.89
Pa_2_8370	0.94	0.32	1.08	0.42	0.38	-0.32	-1.36	-1.91	-2.2	-1.63
Pa_2_8530	-0.32	0.71	0.69	0.57	0.75	0.32	-0.5	-1.74	-1.79	-0.97
Pa_2_9325	1.33	2.03	1.67	0.34	0.12	-0.12	-0.62	-0.94	-1.17	-1.14
Pa_3_10020	-0.4	0.4	1.24	1.05	0.7	0.49	-0.56	-1.3	-1.7	-2.53
Pa_3_1015	0.82	0.68	0.58	0.45	-0.07	0.07	-0.27	-0.68	-0.88	-1.69
Pa_3_1030	0.12	0.62	0.75	1.38	0.82	-0.12	-1.46	-2.01	-2.42	-2.57
Pa_3_10530	1.35	-0.09	0.7	0.09	0.19	0.33	-0.81	-2.17	-2.41	-1.32
Pa_3_1060	-0.58	0.09	0.55	0.72	0.78	0.47	-0.09	-1.19	-2	-2.31
Pa_3_1080	2.29	0.64	1.02	0.32	-0.04	0.04	-0.64	-1.15	-1.21	-0.56
Pa_3_10840	-0.92	0.78	-0.19	0.19	0.91	0.33	0.2	-1.4	-1.5	-2.95
Pa_3_11140	1.47	1.74	0.28	-0.07	0.22	0.07	-0.35	-0.55	-1.07	-1.05
Pa_3_11380	1.61	1.8	1.08	-0.05	0.05	-0.12	-0.25	0.05	-1.1	-2.2
Pa_3_1170	2.28	2.95	2.1	0.77	-0.06	0.06	-0.89	-1.11	-1.26	-1.69
Pa_3_2000	1.53	1.06	1.25	0.8	-0.03	0.03	-0.65	-1.08	-1.75	-2.35
Pa_3_2030	3.45	3.79	1.97	0.32	-0.09	0.09	-0.72	-1.28	-1.6	-1.88
Pa_3_2160	2.84	0.63	1.56	1.11	0.26	-0.26	-1.23	-1.87	-1.46	-0.84
Pa_3_2190	1.97	1.88	0.81	0.6	0.31	-0.4	-0.31	-0.72	-0.79	-1.34
Pa_3_2940	1.13	0.8	0.58	0.19	0.02	-0.02	-0.44	-0.92	-1.5	-0.7
Pa_3_2950	0	0.37	1.51	1.83	0.98	0	-0.65	-0.86	-1.36	-1.48
Pa_3_370	2.29	3.05	2.03	0.29	-0.21	0.21	-0.6	-1.21	-1.29	-1.35
Pa_3_3700	0.83	1.03	1.13	0.03	-0.03	0.05	-0.73	-1.3	-1.4	-1.08
Pa_3_385	2.83	2.91	1.53	0.15	-0.07	0.07	-0.37	-0.66	-0.65	-0.44
Pa_3_4060	-0.2	1.01	0.57	0.01	0.52	0.31	-0.01	-0.86	-1.37	-2.03
Pa_3_490	-0.12	0.09	0.87	0.71	0.76	0.35	-0.09	-0.89	-1.4	-1.65
Pa_3_5670	1.41	1.02	0.71	0.32	-0.01	0.01	-0.44	-0.4	-0.59	-1.11
Pa_3_6730	1.1	0.68	1.15	0.39	-0.12	0.12	-0.24	-2.61	-3.07	-2.83
Pa_3_705	1.5	1.33	1.7	1.15	0.31	-0.31	-0.94	-1.44	-1.62	-1.51
Pa_3_7150	0	0.63	0.23	0.46	0.47	-0.37	0	-0.33	-1.51	-3.7
Pa_3_7370	-0.14	0.14	0.75	0.7	0.72	0.19	-0.15	-1.29	-1.9	-1.48
Pa_3_8540	0.42	-0.03	0.03	-0.29	0.6	0.73	0.39	-0.54	-1.55	-3.35
Pa_3_900	3.51	1.69	1.59	0.34	0.29	-0.29	-1.39	-2.36	-2.4	-2.28
