Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_4_595	-1.22	-1.06	0.62	1.31	1.18	0.58	-0.58	-1.5	-1.57	0.94
Pa_4_5980	-1.71	-0.65	0.61	0.96	1.22	0.65	0.21	-1.08	-1.53	-0.21
Pa_4_6130	-0.32	-0.34	-0.22	-0.04	0.04	0.27	0.86	1.12	0.26	-1.66
Pa_4_6180	-0.16	-0.03	-0.38	-0.3	0.03	0.48	0.8	0.95	0.27	-1.66
Pa_4_6340	0.08	-0.6	1.13	2.51	2.14	0.9	-0.08	-0.69	-0.37	-0.53
Pa_4_6580	-0.44	-0.99	-0.69	-0.09	0.09	0.38	0.99	1	0.34	-1.64
Pa_4_7870	-1.04	-1.26	0.67	1.65	1.67	0.79	-0.28	-0.38	-0.59	0.28
Pa_4_7890	0.29	-0.57	1.87	2.39	1.31	0.55	-0.29	-0.36	-0.78	-0.54
Pa_4_7930	-0.58	-0.68	2.66	1.43	0.6	-0.13	-0.24	-0.18	0.92	0.13
Pa_4_800	0.13	-0.53	-0.64	-0.2	-0.13	0.23	0.85	1.36	0.91	-1.45
Pa_4_8570	-1.41	-1.19	0.51	1.88	1.36	-0.02	0.02	0.02	-0.03	-0.92
Pa_4_9350	-1.39	-0.69	0.42	0.63	0.53	0.54	-0.18	-1.48	-1.92	0.18
Pa_5_10460	0.21	-0.22	-0.25	2.68	2.63	1.71	0.58	-0.21	-0.97	-1.05
Pa_5_10690	-1.57	-1.68	0.28	1.56	0.86	0.36	0.39	-0.28	-0.75	-0.39
Pa_5_10775	-3.74	-3.54	4.55	5.02	3.72	2.19	0.43	-0.43	-2.19	-3.89
Pa_5_11115	-0.27	-0.59	-0.56	2.2	1.9	1.41	0.31	-0.52	-0.08	0.08
Pa_5_11843	-1.06	-0.87	-0.93	2.26	1.92	1.14	0.32	-0.18	0.18	-0.22
Pa_5_1210	-1.19	-0.48	3.18	3.49	2.05	0.85	-0.2	-0.58	-0.16	0.16
Pa_5_2690	-0.38	0.07	-0.21	-0.34	0.09	0.39	0.85	0.62	-0.07	-1.67
Pa_5_2980	0.09	-0.46	-0.6	-0.24	0.44	1.12	1.73	0.93	-0.09	-2.08
Pa_5_3530	-0.71	-0.94	-0.56	4.09	3.88	3.12	1.69	0.56	-0.9	-1.76
Pa_5_4310	-1	-0.13	3.89	4.07	2.94	1.45	0.13	-0.78	-1.02	-1.2
Pa_5_4970	0.12	-0.73	-0.44	-0.36	-0.12	0.32	0.81	0.82	0.13	-1.76
Pa_5_6500	0.08	-1.07	-1.7	-0.87	0.28	0.92	1.33	0.81	-0.08	-4.04
Pa_5_6710	-0.58	-0.72	2.07	0.99	0.48	-0.15	-0.19	-0.36	0.15	0.4
Pa_5_7475	-1.23	-0.85	1.75	2.77	2.73	1.57	0.32	-0.32	-0.85	-1.18
Pa_5_7670	-0.59	-0.57	6.21	5.1	2.64	0.74	-0.02	-0.05	0.02	-0.06
Pa_5_7970	-1.08	-0.39	1.46	0.36	0.12	-0.12	-0.32	-0.6	0.13	0.41
Pa_6_1060	-0.24	-0.04	1.37	2.73	1.28	0.38	0.02	-0.04	-0.12	-0.02
Pa_6_10700	-0.05	0.01	2.27	2.87	1.67	0.47	-0.01	-0.12	-0.4	-0.9
Pa_6_10890	0.08	-0.85	-0.73	-0.08	0.41	0.83	1.12	0.73	-0.18	-2.41
Pa_6_11500	-1.2	-1.48	-0.45	1.74	2.05	1.39	0.32	-0.81	-0.32	0.47
